Frame,Class,Count,Avg_Area,Avg_Brightness
30,Fixed Cells,146,226.0958904109589,126.15273000418357
30,Dead Cells,0,0.0,0.0
30,Debris,3,38.333333333333336,109.06191461037417
31,Seed Cells,1632,161.7996323529412,126.25287302480292
31,Fixed Cells,142,209.99295774647888,126.66494930752906
31,Dead Cells,0,0.0,0.0
31,Debris,9,37.55555555555556,119.89510212155558
32,Seed Cells,1640,160.15853658536585,126.19916896334655
32,Fixed Cells,151,210.72185430463577,126.28545219911463
32,Dead Cells,0,0.0,0.0
32,Debris,6,37.0,116.40208258120111
33,Seed Cells,1693,158.54105138806852,125.91847077956322
33,Fixed Cells,144,200.67361111111111,126.79010603592366
33,Dead Cells,0,0.0,0.0
33,Debris,5,36.6,126.72588587487783
34,Seed Cells,1252,152.5702875399361,125.11475282072129
